ID,Toidukood,ToidunimiEST,ToidunimiENG,ToidunimiLAT,Sunonuumid,Toidugrupp,Allikas,EnergiashkiudainedkJ,Energiashkiudainedkcal,Susivesikudimenduvadg,Rasvadg,Valgudg,Alkoholg,Vesig,Tuhkg,Susivesikudkokkug,Kiudainedg,Tarklisg,Sahharoosg,Laktoosg,Maltoosg,Glukoosg,Fruktoosg,Galaktoosg,Rasvhappedkokkug,Kullastunudrasvhappedg,Monokullastumatarasvhappedg,Polukullastumatarasvhappedg,Transrasvhappedg,PalmitiinhapeC16g,SteariinhapeC18g,LinoolhapeC182g,LinoleenhapeC183g,Kolesteroolmg,Naatriummg,Kaaliummg,Kaltsiummg,Magneesiummg,Fosformg,Raudmg,Tsinkmg,Vaskmg,Mangaanmg,Joodug,Seleenug,Kroomug,Nikkelug,VitamiinARE,Retinoolug,BeetakaroteeniekvivalentBCE,VitamiinDug,VitamiinD3ug,VitamiinEaTE,VitamiinKug,VitamiinB1mg,VitamiinB2mg,NiatsiiniekvivalentkokkuNE,Niatsiinmg,Niatsiiniekvivtruptofaanistmg,Pantoteenhapemg,VitamiinB6mg,Biotiinug,Folaadidug,VitamiinB12ug,VitamiinCmg,Soolaekvivalentmg
410,2730,"Mais, kulmutatud","Corn / Maize, frozen",Zea mays,-,"Maisipohised tooted - popkorn, maisikropsud, maisikonserv jm., Corn products - popcorn, nachos, canned corn, etc., Продукты на основе кукурузы - воздушная кукуруза, кукурузные палочки, кукурузные консервы, ",Toidu koostise andmebaas,413.2000122,98.75479889,18.60000038,0.779999971,3.019999981,0,75,0.479999989,20.70000076,2.099999905,15.10000038,1.649999976,0,0.170000002,0.379999995,0.300000012,0,0.699999988,0.100000001,0.200000003,0.400000006,0,0.100000001,0,0.400000006,0,0,3,213,4,18,70,0.419999987,0.379999995,0,0.119999997,0.5,0.699999988,1,4.099999905,10,0,117,0,0,0.079999998,0.300000012,0.079999998,0.07,2,1.700000048,0.300000012,0.360000014,0.170000002,0.5,36,0,6.400000095,7.5
411,8453,Mais,Corn / Maize,Zea mays,-,"Maisipohised tooted - popkorn, maisikropsud, maisikonserv jm., Corn products - popcorn, nachos, canned corn, etc., Продукты на основе кукурузы - воздушная кукуруза, кукурузные палочки, кукурузные консервы, ",Toidu koostise andmebaas,425.3999939,101.6709976,17,1.799999952,3.400000095,0,76,0.800000012,18.5,1.5,14.60000038,1.100000024,0,0.100000001,0.400000006,0.300000012,0,1.700000048,0.400000006,0.600000024,0.699999988,0,0.300000012,0.100000001,0.600000024,0,0,1,260,3,37,91,0.699999988,0.400000006,0,0.200000003,0.5,0,1,6.199999809,8.050999641,0,97,0,0,0.689999998,3,0.159999996,0.050000001,2.299999952,1.899999976,0.400000006,0.730000019,0.150000006,4.5,41,0,8,2.5
412,8258,Maisikropsud,Corn chips,,Tortillad / Tortiljad,"Maisipohised tooted - popkorn, maisikropsud, maisikonserv jm., Corn products - popcorn, nachos, canned corn, etc., Продукты на основе кукурузы - воздушная кукуруза, кукурузные палочки, кукурузные консервы, ",Toidu koostise andmebaas,2208.600098,527.8549805,63,26.5,6.699999809,,2,2.299999952,68.40000153,5.400000095,,,,,,,,,,,,,,,,,,630,,100,,235,2,,,,,,,,,,,0,,,,,,,,,,,,,,,1575
413,8596,"Jogurtimajonees, R 15%","Yoghurt mayonnaise, 15% fat",,,"Majoneesid, majoneesikastmed, salatikastmed, Mayonnaises, mayonnaise dressings, salad dressings, Майонезы, соусы из майонеза, заправки для салата , ",Toidu koostise andmebaas,735.2000122,175.7129974,9.100000381,15,1.5,0,49.5,1.600000024,9.100000381,0,0,0,0,0,0,0,,,1.440000057,2.930000067,9.56000042,,1.080000043,0.300000012,8.479999542,1.080000043,0,500,10,0,0,0,0.300000012,0.109999999,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,0,1250
414,8523,"Majonees, R 25%","Mayonnaise, 25% fat",,,"Majoneesid, majoneesikastmed, salatikastmed, Mayonnaises, mayonnaise dressings, salad dressings, Майонезы, соусы из майонеза, заправки для салата , ",Toidu koostise andmebaas,1285.400024,307.2109985,20.70000076,25,0.5,0,53.40000153,1.399999976,20.70000076,0,,,,,,,,,3.700000048,5.809999943,14.39999962,,2.680000067,0.930000007,12.5,1.840000033,26,690,22,14,2,14,0.100000001,0.100000001,,,,1,,,7,7,0,0,,2.5,,0.01,0.02,0.100000001,0,,,0.02,,5,0.100000001,0,1725
415,4240,"Majonees, R 33,4%","Mayonnaise, 33,4% fat",,,"Majoneesid, majoneesikastmed, salatikastmed, Mayonnaises, mayonnaise dressings, salad dressings, Майонезы, соусы из майонеза, заправки для салата , ",Toidu koostise andmebaas,1657.400024,396.118988,23.89999962,33.40000153,0.899999976,0,40,1.899999976,23.89999962,0,,,,,,,,,4.900000095,9,18,,3.5,1.399999976,16,2,26,711,9,14,2,26,0.200000003,,,,,,,,0,,,0.330000013,,7,,0.02,0.07,0.300000012,0,,,0.01,,4,0.5,,1777.5
416,4231,"Majonees, R 41,5% (tuup Felixi 'Klassikaline')","Mayonnaise, 41,5% fat (type Felix 'Classic')",,,"Majoneesid, majoneesikastmed, salatikastmed, Mayonnaises, mayonnaise dressings, salad dressings, Майонезы, соусы из майонеза, заправки для салата , ",Toidu koostise andmebaas,1672.140015,399.6409912,5.900000095,41.5,2.099999905,0,48.90159988,1.360599995,5.980000019,0.079999998,0,5.289400101,1.092000008,0,0.038400002,0,0,41.43299866,3.299999952,25.8628006,12.27019978,0,1.767179966,0.697799981,7.916220188,3.090579987,23.38199997,467,41.4966011,26.35180092,4.346600056,28.63990021,0.211170003,0.145999998,0.006518,1.14756,5.864600182,0.898800015,0.337199986,0.794399977,13.14850044,12.93799973,2.53579998,0.079999998,0.079999998,7.349720001,60.9192009,0.0146,0.056000002,0.364639997,0.021539999,0.224000007,0.189999998,0.01154,1.609799981,3.624000072,0.199200004,0.139500007,1167.5
417,8604,"Majonees, R 65%","Mayonnaise, 65% fat",,,"Majoneesid, majoneesikastmed, salatikastmed, Mayonnaises, mayonnaise dressings, salad dressings, Майонезы, соусы из майонеза, заправки для салата , ",Toidu koostise andmebaas,2490,595.1099854,4.099999905,65,0.899999976,0,28.70000076,1.299999952,4.099999905,0,0,0,0,0,0,0,,,8.800000191,17.20000076,35.5,,6.400000095,2.200000048,31.79999924,3.700000048,74.40000153,469,13.69999981,0,0,0,0.300000012,0.100000001,0,0,0,0,0,0,91.68139648,91.19999695,5.800000191,0.200000003,,0,,0,0,0,0,,0,0,0,0,0,0,1172.5
418,4230,"Majonees, R 80%","Mayonnaise, 80% fat",,,"Majoneesid, majoneesikastmed, salatikastmed, Mayonnaises, mayonnaise dressings, salad dressings, Майонезы, соусы из майонеза, заправки для салата , ",Toidu koostise andmebaas,3012.699951,720.0349731,2,80,1.100000024,0,16,1.100000024,2,0,0,,0,,,,,,11.89999962,22.89999962,41.70000076,,8.590000153,3.130000114,37.5,4.239999771,120,450,16,8,1,27,0.300000012,0.100000001,0.02,,35,,,,147.7799988,147,9.399999619,0.330000013,,7.599999905,,0.01,0.039999999,0.300000012,0.100000001,,,0.01,,4,0.5,0,1125
419,1170,"Makaronid, keedetud","Pasta, boiled",,Pasta / Spagetid,"Pastatooted, Pasta products, Макаронные изделия , ",Toidu koostise andmebaas,432.8999939,103.4629974,19.89999962,0.800000012,3.400000095,0,78.09999847,0.230000004,20.79999924,0.899999976,19.70000076,0.100000001,0,0,0.100000001,0,,,0.119999997,0.090000004,0.379999995,,0.109999999,0,0.349999994,0.029999999,0,0.300000012,86,7,11,45,1.100000024,0.400000006,0.079999998,0.189999998,29,4,1,10,0,0,0,0,,0.219999999,,0.119999997,0,2,0.5,,0,0.01,0,3,0,0,0.75
